20101101,20130701,20130901,20130101,20130301,20130501,20140501,20140301,20140101,20100801,20100601,20121101,20100401,20140901,20100201,20140701,20110901,20121001,20110501,20131101,20110701,20110101,20110301,20111001,20120901,20141101,20120301,20120101,20120701,20120501,20101201,20130801,20101001,20130201,20111201,20130401,20130601,20140401,20140201,20100901,20100701,20121201,20140801,20100501,20140601,20100301,20150101,20100101,20110601,20131001,20110801,20131201,20110201,20110401,20120801,20111101,20141201,20141001,20120201,20120601,20120401,system:index,SOCstock100,rcasiteid
1.0,-999.0,-999.0,1.0,1.0,1.0,-999.0,1.0,-999.0,-999.0,-999.0,1.0,2.0,-999.0,3.0,-999.0,-999.0,1.0,1.0,2.0,-999.0,1.0,2.0,1.0,-999.0,-999.0,1.0,1.0,1.0,-999.0,6.0,-999.0,2.0,1.0,1.0,-999.0,-999.0,1.0,2.0,-999.0,-999.0,3.0,1.0,-999.0,-999.0,1.0,1.0,7.0,-999.0,-999.0,-999.0,-999.0,2.0,1.0,-999.0,2.0,5.0,-999.0,1.0,-999.0,2.0,00000000000000000009,74.8869858592311,A0209P89
1.0,-999.0,-999.0,1.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.0,1.0,-999.0,2.0,-999.0,-999.0,1.0,1.0,2.0,-999.0,1.0,2.0,1.0,-999.0,-999.0,1.0,1.0,1.0,-999.0,27.0,-999.0,1.0,-999.0,1.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,3.0,1.0,-999.0,-999.0,-999.0,1.0,7.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,2.0,4.0,-999.0,1.0,-999.0,1.0,0000000000000000000b,24.1491694232448,A0210R87
3.0,-999.0,-999.0,1.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,3.0,4.0,-999.0,3.0,-999.0,-999.0,1.0,1.0,1.0,-999.0,2.0,6.0,1.0,-999.0,1.0,4.0,2.0,-999.0,-999.0,6.0,-999.0,2.0,1.0,-999.0,1.0,-999.0,2.0,3.0,-999.0,-999.0,5.0,-999.0,-999.0,-999.0,2.0,-999.0,4.0,-999.0,-999.0,-999.0,-999.0,3.0,-999.0,-999.0,1.0,6.0,1.0,1.0,-999.0,4.0,0000000000000000000c,57.107740782807,A0215P99
1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.0,2.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,1.0,3.0,1.0,-999.0,-999.0,2.0,1.0,-999.0,-999.0,4.0,-999.0,1.0,1.0,-999.0,-999.0,-999.0,1.0,2.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,1.0,3.0,-999.0,-999.0,-999.0,2.0,0000000000000000000d,41.2390055403051,A0216P99
3.0,-999.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,-999.0,1.0,4.0,4.0,2.0,11.0,-999.0,-999.0,2.0,3.0,1.0,-999.0,24.0,75.0,2.0,-999.0,2.0,25.0,4.0,-999.0,1.0,59.0,1.0,4.0,13.0,-999.0,1.0,1.0,1.0,5.0,-999.0,-999.0,113.0,1.0,2.0,-999.0,3.0,1.0,49.0,2.0,1.0,-999.0,-999.0,34.0,2.0,-999.0,2.0,47.0,2.0,11.0,1.0,2.0,0000000000000000000e,256.531805975518,A0218R94
3.0,-999.0,-999.0,1.0,1.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,55.0,-999.0,-999.0,1.0,1.0,1.0,-999.0,8.0,91.0,2.0,-999.0,1.0,4.0,4.0,-999.0,-999.0,100.0,-999.0,2.0,2.0,-999.0,-999.0,-999.0,1.0,4.0,-999.0,-999.0,6.0,-999.0,-999.0,-999.0,1.0,1.0,97.0,-999.0,-999.0,-999.0,-999.0,61.0,-999.0,-999.0,3.0,53.0,1.0,1.0,-999.0,4.0,0000000000000000000f,61.4977526955476,A0219P96
27.0,-999.0,1.0,-999.0,254.0,1.0,1.0,77.0,2.0,-999.0,-999.0,7.0,300.0,1.0,2.0,-999.0,-999.0,1.0,48.0,3.0,-999.0,13.0,168.0,3.0,-999.0,3.0,4.0,1.0,-999.0,1.0,106.0,1.0,7.0,-999.0,-999.0,4.0,1.0,4.0,4.0,-999.0,-999.0,1.0,2.0,106.0,-999.0,72.0,21.0,2.0,3.0,1.0,-999.0,-999.0,-999.0,379.0,-999.0,1.0,66.0,2.0,1.0,-999.0,208.0,00000000000000000011,697.895937083928,A0220R98
2.0,-999.0,-999.0,8.0,2.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,2.0,3.0,1.0,105.0,-999.0,1.0,1.0,1.0,3.0,-999.0,13.0,45.0,1.0,1.0,1.0,2.0,2.0,1.0,-999.0,132.0,-999.0,2.0,12.0,-999.0,-999.0,-999.0,1.0,3.0,-999.0,-999.0,40.0,1.0,-999.0,-999.0,3.0,2.0,123.0,-999.0,-999.0,-999.0,-999.0,16.0,1.0,1.0,2.0,52.0,-999.0,1.0,-999.0,3.0,00000000000000000012,2.02756751906708,A0220R99
2.0,-999.0,-999.0,-999.0,1.0,1.0,1.0,1.0,1.0,-999.0,-999.0,2.0,2.0,1.0,8.0,-999.0,-999.0,-999.0,1.0,1.0,-999.0,4.0,3.0,1.0,-999.0,1.0,1.0,2.0,-999.0,-999.0,8.0,1.0,2.0,1.0,-999.0,-999.0,-999.0,1.0,2.0,-999.0,-999.0,11.0,1.0,1.0,-999.0,1.0,-999.0,29.0,2.0,-999.0,-999.0,-999.0,19.0,-999.0,-999.0,-999.0,2.0,-999.0,1.0,-999.0,-999.0,00000000000000000013,28.7678293838082,A0305R90
3.0,1.0,1.0,-999.0,39.0,1.0,1.0,1.0,1.0,-999.0,-999.0,3.0,4.0,1.0,44.0,-999.0,-999.0,1.0,2.0,1.0,-999.0,5.0,125.0,1.0,-999.0,1.0,35.0,1.0,-999.0,-999.0,69.0,2.0,3.0,7.0,-999.0,1.0,1.0,1.0,11.0,-999.0,-999.0,5.0,2.0,1.0,-999.0,73.0,-999.0,3.0,2.0,-999.0,-999.0,-999.0,-999.0,3.0,-999.0,1.0,40.0,1.0,1.0,-999.0,2.0,00000000000000000014,39.9362236072813,A0305R92
3.0,-999.0,-999.0,-999.0,13.0,1.0,1.0,1.0,1.0,-999.0,-999.0,3.0,2.0,1.0,71.0,-999.0,-999.0,1.0,2.0,1.0,-999.0,5.0,125.0,1.0,-999.0,1.0,4.0,1.0,-999.0,-999.0,44.0,1.0,3.0,10.0,-999.0,1.0,1.0,1.0,3.0,-999.0,-999.0,2.0,1.0,1.0,-999.0,23.0,-999.0,2.0,2.0,-999.0,-999.0,-999.0,11.0,1.0,-999.0,1.0,7.0,1.0,2.0,-999.0,1.0,00000000000000000015,20.1301033251195,A0305R94
1.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,1.0,1.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,1.0,1.0,1.0,-999.0,-999.0,-999.0,1.0,1.0,-999.0,-999.0,1.0,1.0,1.0,-999.0,-999.0,-999.0,1.0,1.0,-999.0,-999.0,-999.0,1.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.0,00000000000000000016,31.6152711537807,A0305R97
1.0,1.0,-999.0,-999.0,-999.0,1.0,1.0,-999.0,1.0,-999.0,-999.0,1.0,1.0,1.0,1.0,-999.0,-999.0,-999.0,1.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,1.0,1.0,-999.0,-999.0,2.0,1.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,2.0,2.0,1.0,-999.0,-999.0,-999.0,2.0,2.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.0,-999.0,1.0,-999.0,-999.0,00000000000000000017,5.43774298133083,A0306R88
1.0,-999.0,1.0,-999.0,-999.0,1.0,1.0,-999.0,1.0,-999.0,-999.0,1.0,1.0,1.0,1.0,-999.0,-999.0,-999.0,1.0,1.0,-999.0,-999.0,2.0,1.0,-999.0,1.0,1.0,1.0,-999.0,-999.0,2.0,1.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,2.0,1.0,1.0,-999.0,-999.0,-999.0,6.0,2.0,1.0,-999.0,-999.0,1.0,1.0,-999.0,-999.0,1.0,-999.0,1.0,-999.0,-999.0,00000000000000000018,4.8360281481923,A0306R91
1.0,-999.0,-999.0,-999.0,-999.0,1.0,1.0,-999.0,1.0,-999.0,-999.0,1.0,1.0,1.0,1.0,-999.0,-999.0,-999.0,1.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,1.0,1.0,-999.0,-999.0,2.0,1.0,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,2.0,2.0,1.0,-999.0,-999.0,-999.0,3.0,2.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.0,-999.0,1.0,-999.0,-999.0,00000000000000000019,7.4949981951671,A0306R92
1.0,-999.0,-999.0,-999.0,-999.0,1.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,1.0,1.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,1.0,1.0,1.0,-999.0,-999.0,-999.0,1.0,1.0,-999.0,-999.0,1.0,1.0,1.0,-999.0,-999.0,-999.0,1.0,2.0,-999.0,-999.0,-999.0,1.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.0,0000000000000000001a,8.89454009989982,A0306R93
