system:index,20150101,20150201,20150301,20150401,20150501,20150601,20150701,20150801,20150901,20151001,20151101,20151201,COUNTRY,CaCO3,Clay,Coarse,EC,FID_LUCAS_,FID_gadm40,ID_0,K,LC,LC0_Desc,LC1_Desc,LU,LU1_Desc,N,NUTS_0,NUTS_1,NUTS_2,NUTS_3,OC,P,Point_ID,Sand,Silt,pH_CaCl2,pH_H20,.geo
0000000000000000014f,392.0,242.0,331.0,280.0,254.0,246.0,266.0,214.0,260.0,152.0,387.0,286.0,Germany,2,0,0,20.7,9894,0,DEU,304.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.5,DE,DE1,DE11,DE119,11.7,39.3,42962902,0,0,6.8,6.85,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156,365.0,220.0,311.0,264.0,243.0,234.0,254.0,204.0,245.0,133.0,363.0,265.0,Germany,1,0,0,11.8,9811,0,DEU,278.3,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.3,DE,DE1,DE11,DE119,18.9,68.5,42822906,0,0,6.9,6.91,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000160,359.0,218.0,308.0,262.0,244.0,235.0,257.0,206.0,245.0,129.0,358.0,264.0,Germany,93,0,0,23.0,9747,0,DEU,341.6,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.8,DE,DE1,DE11,DE118,14.5,174.8,42722910,0,0,7.6,7.97,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000168,397.0,244.0,337.0,280.0,259.0,248.0,272.0,218.0,263.0,155.0,393.0,296.0,Germany,1,0,0,9.86,9907,0,DEU,244.6,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.4,DE,DE1,DE11,DE119,11.2,42.0,42982918,0,0,6.6,6.62,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017a,407.0,252.0,343.0,287.0,267.0,258.0,281.0,226.0,272.0,166.0,403.0,308.0,Germany,79,0,0,15.43,9874,0,DEU,440.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.6,DE,DE1,DE11,DE11B,24.6,26.3,42922926,0,0,7.5,7.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017b,436.0,274.0,367.0,302.0,276.0,267.0,289.0,234.0,283.0,186.0,426.0,331.0,Germany,3,0,0,24.2,10064,0,DEU,482.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.2,DE,DE1,DE11,DE11B,18.0,67.9,43202926,0,0,6.8,6.95,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000019d,418.0,263.0,355.0,295.0,279.0,269.0,295.0,238.0,284.0,179.0,418.0,326.0,Germany,169,0,0,21.9,9861,0,DEU,412.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.2,DE,DE1,DE11,DE11B,23.2,24.5,42902946,0,0,7.5,7.8,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,333.0,224.0,296.0,257.0,248.0,233.0,247.0,208.0,251.0,140.0,324.0,246.0,Germany,8,0,0,20.3,9458,0,DEU,136.6,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.6,DE,DE1,DE12,DE12C,22.7,19.0,42282820,0,0,7.3,7.64,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010c,349.0,228.0,305.0,254.0,244.0,234.0,254.0,208.0,253.0,130.0,343.0,265.0,Germany,2,0,0,12.39,9369,0,DEU,221.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.4,DE,DE1,DE12,DE123,11.2,42.7,42142870,0,0,6.2,6.75,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,371.0,264.0,329.0,283.0,279.0,254.0,268.0,229.0,284.0,178.0,354.0,287.0,Germany,116,0,0,34.3,9357,0,DEU,633.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.7,DE,DE1,DE13,DE135,38.8,60.9,42122800,0,0,7.3,7.63,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,259.0,208.0,255.0,228.0,226.0,202.0,211.0,180.0,216.0,126.0,252.0,188.0,Germany,0,0,0,14.07,9663,0,DEU,100.3,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.4,DE,DE1,DE14,DE147,10.0,39.1,42602746,0,0,4.9,5.24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,312.0,231.0,282.0,256.0,237.0,219.0,230.0,197.0,238.0,149.0,308.0,229.0,Germany,0,0,0,18.24,9893,0,DEU,241.1,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.6,DE,DE1,DE14,DE146,12.6,63.6,42962776,0,0,5.9,6.14,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,420.0,289.0,357.0,311.0,271.0,255.0,268.0,228.0,281.0,194.0,409.0,313.0,Germany,1,0,0,26.1,10047,0,DEU,255.9,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.9,DE,DE1,DE14,DE145,13.7,52.0,43182820,0,0,6.6,6.8,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,257.0,178.0,239.0,242.0,209.0,183.0,200.0,183.0,203.0,145.0,255.0,151.0,Germany,0,0,0,36.0,11975,0,DEU,73.9,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.6,DE,DE2,DE21,DE215,20.4,16.1,45362764,0,0,5.6,5.8,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,323.0,214.0,289.0,279.0,237.0,221.0,228.0,203.0,226.0,170.0,309.0,201.0,Germany,2,0,0,24.9,11387,0,DEU,104.9,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),3.4,DE,DE2,DE21,DE21G,29.5,97.6,44842784,0,0,6.7,6.77,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,361.0,234.0,322.0,296.0,244.0,242.0,242.0,208.0,242.0,178.0,338.0,240.0,Germany,49,0,0,64.1,10913,0,DEU,429.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),3.2,DE,DE2,DE21,DE21H,36.3,45.5,44382792,0,0,7.0,7.2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,354.0,225.0,313.0,287.0,235.0,230.0,233.0,196.0,230.0,172.0,331.0,221.0,Germany,3,0,0,12.23,11199,0,DEU,159.5,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.5,DE,DE2,DE21,DE21A,11.2,51.2,44662802,0,0,7.0,7.37,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,377.0,232.0,328.0,297.0,244.0,238.0,246.0,205.0,236.0,175.0,353.0,243.0,Germany,330,0,0,34.7,11011,0,DEU,148.2,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),6.3,DE,DE2,DE21,DE21B,66.4,17.6,44482808,0,0,7.6,7.86,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,328.0,207.0,289.0,266.0,222.0,207.0,220.0,186.0,210.0,163.0,316.0,190.0,Germany,1,0,0,28.5,11628,0,DEU,266.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.8,DE,DE2,DE21,DE21G,14.4,98.6,45042812,0,0,5.9,6.08,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb,363.0,218.0,314.0,284.0,231.0,225.0,235.0,192.0,222.0,163.0,343.0,221.0,Germany,4,0,0,20.7,11154,0,DEU,290.0,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.6,DE,DE2,DE21,DE21B,12.1,31.7,44622820,0,0,7.1,7.55,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f0,369.0,191.0,309.0,277.0,220.0,228.0,233.0,182.0,213.0,140.0,345.0,217.0,Germany,169,0,0,33.3,10828,0,DEU,286.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.0,DE,DE2,DE21,DE211,38.0,43.5,44282848,0,0,7.5,7.77,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc,352.0,184.0,293.0,261.0,213.0,215.0,227.0,172.0,203.0,133.0,335.0,199.0,Germany,182,0,0,29.1,11013,0,DEU,116.8,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),3.0,DE,DE2,DE21,DE219,45.9,24.8,44482856,0,0,7.5,7.78,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101,408.0,225.0,336.0,298.0,243.0,246.0,258.0,200.0,242.0,162.0,385.0,259.0,Germany,0,0,0,16.6,10602,0,DEU,339.5,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.6,DE,DE2,DE21,DE219,12.7,60.2,44022858,0,0,5.7,6.19,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,310.0,193.0,276.0,252.0,212.0,193.0,211.0,178.0,201.0,150.0,301.0,173.0,Germany,1,0,0,16.72,11821,0,DEU,164.9,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.9,DE,DE2,DE22,DE22A,15.5,91.2,45222812,0,0,6.4,6.48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,318.0,197.0,280.0,255.0,215.0,196.0,214.0,177.0,203.0,154.0,310.0,177.0,Germany,0,0,0,11.42,11788,0,DEU,81.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.3,DE,DE2,DE22,DE22A,9.6,15.6,45202816,0,0,5.6,5.79,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3,335.0,195.0,288.0,257.0,211.0,202.0,217.0,173.0,199.0,149.0,323.0,182.0,Germany,0,0,0,29.6,11606,0,DEU,307.2,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.9,DE,DE2,DE22,DE22C,14.3,48.0,45022834,0,0,6.1,6.27,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4,343.0,198.0,294.0,263.0,213.0,210.0,220.0,175.0,203.0,148.0,329.0,192.0,Germany,119,0,0,76.4,11388,0,DEU,387.5,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),6.7,DE,DE2,DE22,DE227,67.2,75.0,44842834,0,0,7.4,7.55,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5,325.0,190.0,281.0,248.0,207.0,196.0,213.0,168.0,195.0,145.0,315.0,172.0,Germany,1,0,0,12.96,11765,0,DEU,323.8,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.1,DE,DE2,DE22,DE22C,8.6,0.0,45182836,0,0,5.7,5.93,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7,367.0,212.0,311.0,275.0,226.0,220.0,235.0,186.0,215.0,163.0,351.0,213.0,Germany,22,0,0,26.5,11297,0,DEU,431.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.2,DE,DE2,DE22,DE227,19.9,83.9,44762836,0,0,7.3,7.62,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dd,380.0,219.0,321.0,284.0,232.0,230.0,240.0,192.0,225.0,166.0,361.0,229.0,Germany,5,0,0,28.8,11155,0,DEU,296.1,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.1,DE,DE2,DE22,DE227,17.0,100.4,44622838,0,0,6.9,7.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df,299.0,169.0,266.0,229.0,194.0,175.0,197.0,156.0,181.0,126.0,295.0,143.0,Germany,1,0,0,18.67,12037,0,DEU,160.3,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.4,DE,DE2,DE22,DE224,9.9,81.2,45422842,0,0,6.2,6.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5,310.0,172.0,271.0,234.0,196.0,183.0,203.0,156.0,183.0,130.0,304.0,151.0,Germany,125,22,13,20.8,11892,0,DEU,256.3,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.5,DE,DE2,DE22,DE22C,25.6,50.5,45282846,21,56,7.0,7.49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e7,310.0,166.0,269.0,231.0,190.0,180.0,199.0,155.0,174.0,123.0,297.0,148.0,Germany,47,0,0,20.1,11766,0,DEU,193.5,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.6,DE,DE2,DE22,DE22C,20.0,35.1,45182848,0,0,7.5,8.05,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ec,362.0,202.0,303.0,268.0,217.0,216.0,228.0,177.0,208.0,153.0,348.0,204.0,Germany,2,0,0,20.6,11298,0,DEU,599.0,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.3,DE,DE2,DE22,DE227,18.8,121.2,44762848,0,0,6.7,6.93,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f1,315.0,173.0,272.0,234.0,193.0,184.0,203.0,157.0,179.0,126.0,307.0,152.0,Germany,7,0,0,22.5,11750,0,DEU,229.8,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.5,DE,DE2,DE22,DE22B,18.5,29.9,45162852,0,0,7.1,7.29,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa,341.0,189.0,287.0,251.0,205.0,201.0,218.0,166.0,193.0,143.0,329.0,178.0,Germany,8,0,0,17.43,11607,0,DEU,270.0,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.3,DE,DE2,DE22,DE22B,10.6,112.7,45022856,0,0,7.3,7.65,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104,355.0,186.0,294.0,260.0,212.0,214.0,227.0,172.0,201.0,136.0,339.0,200.0,Germany,3,0,0,17.82,11113,0,DEU,158.8,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.4,DE,DE2,DE22,DE226,10.3,48.3,44582862,0,0,7.1,7.41,"{""type"":""MultiPoint"",""coordinates"":[]}"
