OID_,Point_ID,long,lat,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
2734,32041882,-2.917602522,39.17149451,0,0,0,7.7,8.18,19.86,5.7,512,53.1,1.5,254,B82,U111,ES,ES4,ES42,ES422,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
2735,32041894,-2.938850401,39.27846898,0,0,0,7.8,8.47,15.55,6.6,91,18.8,0.5,170.5,B82,U111,ES,ES4,ES42,ES422,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
2736,32041948,-3.035671981,39.75960206,0,0,0,7.6,8.15,17.34,12.5,230,13.3,1.2,193.7,B13,U111,ES,ES4,ES42,ES425,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
2737,32041958,-3.053821289,39.84865576,0,0,0,7.3,7.59,66.6,17.1,408,13.8,2.1,504.7,F40,U112,ES,ES4,ES42,ES423,Bareland,Other bare soil,Fallow land
2738,32041972,-3.079347029,39.97330741,0,0,0,7.6,8.09,22.2,8.7,38,20.4,0.8,216.4,B12,U111,ES,ES4,ES42,ES423,Cropland,Durum wheat,Agriculture (excluding fallow land and kitchen gardens)
2739,32042008,-3.14561631,40.29371474,0,0,0,7.5,8.1,19.19,8.3,311,9.4,1.1,196.9,B13,U111,ES,ES4,ES42,ES424,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
2740,32042030,-3.186567544,40.48943067,0,0,0,7.5,7.96,24.1,4.7,97,12.7,1,246.6,B13,U111,ES,ES4,ES42,ES424,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
2741,32042038,-3.201545141,40.56058351,0,0,0,7.5,7.91,26.1,12.2,255,10,1.6,145.4,D20,U420,ES,ES4,ES42,ES424,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
2742,32042056,-3.235414303,40.72064517,0,0,0,5.1,5.48,6.76,8.9,0,27.2,0.9,173.5,B11,U111,ES,ES4,ES42,ES424,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
2743,32042062,-3.246756488,40.77398915,0,0,0,6.6,6.86,13.34,10.8,1,31.7,1.1,255.9,B13,U111,ES,ES4,ES42,ES424,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
2744,32042128,-3.373279238,41.36044794,27,29,44,4.4,5.05,4.93,7.6,0,20,1.2,95.4,F40,U111,ES,ES4,ES41,ES416,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens)
2745,32042138,-3.392734692,41.4492536,59,9,32,7.4,8.23,12.9,3.5,558,0,0.4,140.7,D10,U111,ES,ES4,ES41,ES416,Shrubland,Shrubland with sparse tree cover,Agriculture (excluding fallow land and kitchen gardens)
2746,32042170,-3.455506406,41.7333408,0,0,0,7.5,8.09,14.25,11.9,142,10.8,1.5,294.9,B11,U111,ES,ES4,ES41,ES412,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
