OID_,Point_ID,long,lat,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
2900,32201956,-2.866145266,39.85546253,0,0,0,7.4,7.82,26.2,8.4,467,25.2,1.2,299.5,B13,U111,ES,ES4,ES42,ES423,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
2901,32202006,-2.956643711,40.30073473,0,0,0,7.4,7.55,66.6,10.4,54,34.6,1,242.1,B13,U111,ES,ES4,ES42,ES424,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
2902,32202010,-2.963958873,40.33634164,0,0,0,7.2,7.29,234,40,302,72.9,3.5,832.7,B13,U111,ES,ES4,ES42,ES424,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
2903,32202034,-3.008087227,40.54993718,0,0,0,7.6,7.64,234,5.8,201,17.2,0.9,172.2,F40,U112,ES,ES4,ES42,ES424,Bareland,Other bare soil,Fallow land
2904,32202060,-3.056356471,40.78124371,0,0,0,7.6,8.09,27.2,8.2,134,15.1,1,350.8,F40,U112,ES,ES4,ES42,ES424,Bareland,Other bare soil,Fallow land
2905,32202078,-3.090059384,40.94132523,46,10,43,7.4,7.9,22.2,25.5,375,16.3,1.1,359.3,F40,U112,ES,ES4,ES42,ES424,Bareland,Other bare soil,Fallow land
2906,32202096,-3.123998624,41.10136294,8,52,39,4,4.52,7.42,43.4,1,7,2.2,59.6,D10,U420,ES,ES4,ES42,ES424,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use
2907,32202118,-3.165804128,41.29690528,23,29,48,7.1,7.39,31.5,32.7,28,0,3.3,445.3,D20,U111,ES,ES4,ES41,ES417,Shrubland,Shrubland without tree cover,Agriculture (excluding fallow land and kitchen gardens)
2908,32202154,-3.234992745,41.61674363,0,0,0,7.5,8.1,17.16,1,356,10,1,217.6,B13,U112,ES,ES4,ES41,ES417,Cropland,Barley,Fallow land
2909,32202168,-3.262164135,41.74107847,0,0,0,6.5,7.03,5.93,0.7,1,6.2,0.1,21.5,B11,U111,ES,ES4,ES41,ES417,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
2910,32202208,-3.340626633,42.09617736,23,32,44,6.4,6.62,14.13,36.1,27,7.3,2.6,203.6,C10,U120,ES,ES4,ES41,ES412,Woodland,Broadleaved woodland,Forestry
2911,32202240,-3.404295631,42.38010414,22,27,51,6.2,6.39,12.15,34.3,1,8.5,3,180.2,C22,U120,ES,ES4,ES41,ES412,Woodland,Pine dominated coniferous woodland,Forestry
2912,32202250,-3.424358498,42.46880362,0,0,0,7.7,8.05,18.92,18.9,339,23.7,1.7,387.6,B11,U111,ES,ES4,ES41,ES412,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
2913,32202258,-3.440466327,42.53975374,0,0,0,7.4,7.84,23.8,17.3,442,37.7,1.8,334.8,B11,U111,ES,ES4,ES41,ES412,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
