system:index,20150101,20150201,20150301,20150401,20150501,20150601,20150701,20150801,20150901,20151001,20151101,20151201,COUNTRY,CaCO3,Clay,Coarse,EC,FID_LUCAS_,FID_gadm40,ID_0,K,LC,LC0_Desc,LC1_Desc,LU,LU1_Desc,N,NUTS_0,NUTS_1,NUTS_2,NUTS_3,OC,P,Point_ID,Sand,Silt,pH_CaCl2,pH_H20,.geo
000000000000000000cb,-21.0,-32.0,6.0,35.0,90.0,128.0,155.0,147.0,75.0,42.0,33.0,21.0,Germany,23,0,0,33.8,10309,0,DEU,171.9,A22,Artificial land,Non built-up linear features,U312,Road transport,5.6,DE,DE2,DE27,DE277,56.5,43.7,43582826,0,0,7.2,7.5,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005af,8.0,-5.0,16.0,30.0,65.0,97.0,134.0,136.0,89.0,57.0,57.0,58.0,Germany,2,0,0,23.0,9535,0,DEU,155.3,A22,Artificial land,Non built-up linear features,U318,Protection infrastructures,2.8,DE,DE5,DE50,DE501,24.9,61.1,42403326,0,0,5.2,5.53,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020c,-15.0,-37.0,-9.0,15.0,63.0,97.0,128.0,127.0,68.0,37.0,35.0,31.0,Germany,3,0,0,26.8,10065,0,DEU,306.7,A30,Artificial land,Other artificial areas,U319,"Electricity, gas and thermal power distribution",1.8,DE,DE2,DE26,DE265,16.6,37.7,43203016,0,0,6.7,6.82,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000067f,15.0,-3.0,20.0,33.0,64.0,103.0,136.0,148.0,106.0,66.0,57.0,56.0,Germany,40,0,0,21.8,10501,0,DEU,120.3,A30,Artificial land,Other artificial areas,U319,"Electricity, gas and thermal power distribution",3.2,DE,DEF,DEF0,DEF08,35.1,62.6,43843470,0,0,7.0,7.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8,-10.0,-24.0,12.0,40.0,90.0,127.0,156.0,149.0,81.0,49.0,39.0,29.0,Germany,2,0,0,24.8,9829,0,DEU,382.7,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.9,DE,DE1,DE11,DE113,23.9,39.4,42862834,0,0,7.0,7.31,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100,-12.0,-31.0,5.0,32.0,83.0,121.0,153.0,146.0,78.0,45.0,37.0,27.0,Germany,5,0,0,18.27,9529,0,DEU,200.9,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.2,DE,DE1,DE11,DE112,22.8,45.2,42402858,0,0,7.5,7.96,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010e,-2.0,-19.0,16.0,45.0,94.0,130.0,160.0,154.0,85.0,51.0,44.0,36.0,Germany,2,0,0,18.39,9571,0,DEU,203.2,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.7,DE,DE1,DE11,DE115,12.6,40.8,42462870,0,0,6.9,7.3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010f,-2.0,-19.0,16.0,46.0,95.0,133.0,163.0,156.0,85.0,53.0,44.0,37.0,Germany,18,0,0,21.5,9693,0,DEU,456.1,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.1,DE,DE1,DE11,DE115,17.8,29.8,42642870,0,0,7.4,7.89,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145,-9.0,-28.0,4.0,29.0,82.0,119.0,151.0,146.0,74.0,45.0,39.0,32.0,Germany,1,0,0,15.88,9952,0,DEU,274.5,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.8,DE,DE1,DE11,DE11A,14.4,79.5,43042898,0,0,6.9,6.97,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014e,-1.0,-19.0,13.0,40.0,91.0,127.0,159.0,152.0,82.0,51.0,46.0,37.0,Germany,1,0,0,27.7,9790,0,DEU,222.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.6,DE,DE1,DE11,DE118,12.0,74.6,42782902,0,0,6.4,6.46,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014f,-7.0,-27.0,5.0,31.0,84.0,121.0,151.0,145.0,75.0,45.0,39.0,33.0,Germany,2,0,0,20.7,9894,0,DEU,304.4,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.5,DE,DE1,DE11,DE119,11.7,39.3,42962902,0,0,6.8,6.85,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000156,-4.0,-21.0,9.0,35.0,87.0,123.0,154.0,149.0,79.0,47.0,45.0,35.0,Germany,1,0,0,11.8,9811,0,DEU,278.3,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),2.3,DE,DE1,DE11,DE119,18.9,68.5,42822906,0,0,6.9,6.91,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000160,-2.0,-22.0,8.0,37.0,89.0,124.0,156.0,153.0,81.0,47.0,44.0,34.0,Germany,93,0,0,23.0,9747,0,DEU,341.6,B11,Cropland,Common wheat,U111,Agriculture (excluding fallow land and kitchen gardens),1.8,DE,DE1,DE11,DE118,14.5,174.8,42722910,0,0,7.6,7.97,"{""type"":""MultiPoint"",""coordinates"":[]}"
