SSCL,Supervised,GBDT,Point_id
2.8180180191993713,5.257419526577,9.397509776018886,51604072
21.209478557109833,7.568693831562999,0.23826970248351742,51622792
2.6206941157579373,2.0675768405199073,2.886532925967858,51622914
1.9811328202486111,8.290113776922226,1.874208156987951,51623628
37.072295933961875,30.852604597806934,41.99699984833376,51624232
6.670548498630524,13.832811534404756,9.233237102185264,51642748
0.2997382879257178,4.0154154896736145,4.186432170511669,51643090
4.526889771223068,0.7725409269332861,8.465539263331571,51643216
0.45376758277415746,4.308623805642128,0.03614240965927884,51643320
40.20775330066681,41.84419512748718,35.012144874458635,51644548
14.709225296974182,15.394409537315369,17.955253126300782,51644800
25.708449035882946,24.80331480503082,22.53277404198195,51644850
7.257631480693822,17.064805403351787,7.50359802120337,51662578
3.8700033724308036,8.023667067289352,3.1392908498533405,51663016
9.404681593179703,6.8865029811859175,7.986432170511669,51663088
5.271984592080116,10.91512490808964,5.436142409659278,51663358
17.519359901547432,8.085198149085045,7.496198573210801,51683776
19.1704899519682,26.31298027932645,23.54119612241186,51684076
14.286274462938303,9.368672758340836,17.38630939431777,51684292
35.722859144210815,49.10919535160065,32.67106376877659,51684368
15.067339226603503,11.35220780968666,12.745583385566555,51703136
35.39218354225159,26.88679200410843,32.14654240140224,51704558
3.145873948931694,8.578598007559771,6.413923091900486,51723256
1.1058417409658432,5.395046755671504,2.796460206107465,51723574
17.23940080404282,18.494301438331608,24.710952094730366,51724552
38.26466077566147,43.498076140880585,42.246544173144855,51724638
17.197845965623856,27.50869372487068,23.388646991168017,51724894
1.4162286669015884,6.177934259176252,3.103532039367545,51742548
10.750854045152659,11.949615329504013,11.11128372819725,51743642
62.680792450904846,58.09195804595947,54.05655826256016,51743706
29.439784169197086,24.354630410671234,26.71644855694904,51743948
19.301941126585007,19.296107321977615,26.087855125541367,51744528
1.7003129124641418,2.1334573477506615,2.446106925294046,51762918
32.11929988861084,43.52276998758316,35.49426977054731,51764034
46.448778212070465,45.67553722858429,48.12232362167389,51764124
31.857967481017113,34.7344376295805,37.50202017749148,51764754
0.7751000225543976,4.2440215498209,3.744613145049591,51782902
39.50015169382095,50.53263330459595,46.22757595369637,51783832
9.339734494686125,16.44875174760819,15.244613145049591,51802860
6.212326481938362,11.214469090104105,14.75285309879567,51803044
13.994464963674545,13.914990395307543,11.631318494535012,51803292
4.6609039306640625,3.716455042362218,4.114685869864509,51803718
2.132437080144887,5.2735493481159255,2.9317325753572376,51804120
7.958789974451065,5.108963459730144,16.32893623122341,51804354
19.54192051291466,9.635010570287704,18.47084989674382,51804718
3.1365904211998035,1.0435367077588962,2.8141930402073214,51823018
4.6987588405609175,1.631979614496231,1.1767721202591623,51823686
37.73467129468918,42.28582710027695,43.7043636418229,51823750
20.527447164058685,18.264646589756012,23.510952094730367,51824544
42.951974987983704,44.048699140548706,36.21886581583694,51824584
30.284262388944626,36.44755250215531,34.83424477088711,51824728
4.604849494993693,8.615587569773195,4.401089440904366,51843064
2.0793073251843524,5.532611109316356,2.6538930747059535,51843208
50.13704949617386,44.73870599269867,42.49209261851543,51844828
8.469114348292356,0.9857898205518698,6.257643155953971,51862780
6.677551656961444,12.519803613424306,8.89201960614809,51863646
