point_id,y_true,y_pred
26601784,48.0,44.71476227058067
26601978,25.2,29.236940234605026
26761768,38.9,33.80537332029748
26802028,4.7,40.583730664753496
26921850,12.1,27.408650904223155
26921874,20.4,33.44096538701643
26942016,15.3,42.7184835588577
27041840,4.7,30.44225125305023
27041876,7.1,29.215848774057648
27061758,3.9,37.72188230398315
27101814,12.8,42.30941637603288
27121756,19.9,27.33545428432574
27182008,18.3,39.797843761629785
27202042,10.0,29.471330857394108
27241758,15.4,35.036559513419114
27242050,17.8,22.702083542917464
27301980,5.7,39.530035470544156
27341920,14.6,32.52184899579139
27381916,28.3,42.272841871522886
27402128,3.3,42.46464982838513
27421740,18.0,37.66991202359912
27421780,5.3,20.43131928009054
27422006,3.4,16.843241215154194
27481894,20.2,39.12956533211223
27541756,15.6,31.73869243181205
27541792,7.0,23.723562896595478
27541810,19.2,21.94022564843978
27541828,6.4,28.687042609856835
27561952,8.1,30.518607110735715
27561980,6.5,27.933811470336764
27561988,38.1,48.157210327449846
27601942,17.7,28.29492094585389
27641832,7.0,25.3082392404305
27642156,64.4,49.618749690554644
27681762,8.4,25.228502525483425
27681946,4.6,22.73494347353455
27701848,9.7,21.36628136546998
27721828,10.1,25.554423812022613
27722026,27.3,44.24888935487216
27722080,15.1,45.346223537612104
27741908,6.2,26.453990729080584
27742358,10.5,23.297247404018254
27742394,73.3,28.36745004258252
27781812,10.1,28.75418914746986
27781996,10.6,42.613899261333124
27802116,30.5,48.16397426702178
27821832,6.5,23.26076179201822
27821838,13.0,17.555431447554408
27842416,70.2,51.171246699918534
27881902,10.6,32.711103397804536
27882384,87.0,45.97324074901572
27922352,23.2,23.444471853998838
27962406,55.5,27.920277548643238
27981936,9.3,30.381416844038498
28022250,43.6,39.76097339135284
28062298,1.4,40.18507806758026
28102100,87.0,43.16163126731248
28102114,14.5,44.5816292593854
28102276,39.8,21.85744955410156
28121858,8.3,28.108207217252843
28201930,12.5,27.90519597149109
28201948,21.6,28.10339634166606
28202116,13.2,29.01026417059084
28202170,37.9,37.66375179584518
28202386,62.7,36.21924151224617
28221888,17.2,37.23088964640181
28222270,87.0,49.70571748791649
28222342,87.0,46.66533502067262
28222360,11.9,49.083995169576944
28242028,10.7,44.569281020385226
28242186,51.9,29.135923066157012
28262354,72.1,45.55269293669696
28282042,18.8,31.796189491141426
28282190,23.4,37.3159218541827
28302038,13.2,36.635667009307625
28302110,28.4,41.993438184652966
28302282,39.9,40.32122942152462
28321802,13.3,42.49392721462486
28322176,10.4,31.01812995155148
28341818,10.5,26.524613388447744
28341822,20.7,29.16192929493635
28341858,16.5,27.492614004285212
28362030,11.9,24.5863249404065
28381858,7.8,28.319573291430128
28381990,24.5,39.340521121565764
28382290,85.4,30.971393657411973
28382362,12.4,31.922225111682923
28422060,22.2,33.62806557556105
28442038,10.2,45.68354100814544
28481832,20.5,33.74655797892885
28482290,18.4,41.57363163214174
28482386,87.0,43.54251072892303
28502140,48.9,43.18234216622236
28502252,53.5,49.081691800362314
28541964,14.3,29.139380039272165
28542076,14.9,29.96536624599338
28542144,18.6,46.13779533283601
28542166,6.0,31.063863618583134
28542300,14.7,40.52228613110723
28562376,61.9,47.931111997884706
28581744,9.6,16.458788543887245
28601988,27.3,27.661095891873803
28602150,6.8,46.02847501112211
28642024,10.5,27.554234801574623
28642240,14.6,28.263751729712556
28642250,17.8,29.14442624292431
28661732,11.7,19.026910746768802
28661930,23.6,26.71583654313443
28721946,9.9,37.31902623458037
28722138,5.9,25.242942891745496
28722300,22.8,39.165610890365464
28741666,18.7,15.898670894239107
28741750,12.0,20.60173526664414
28742016,17.0,28.195003628253797
28762036,6.8,28.117409960987878
28762162,5.8,17.915658306421243
28762194,9.6,26.21754311204312
28782240,43.2,38.42939518815207
28782352,77.8,30.228659576207168
28801616,12.4,15.790625746610027
28802056,13.0,27.865474286480428
28822118,16.4,28.471285393775567
28822448,47.3,44.527566519196526
28822460,77.3,53.06532482625824
28841702,0.1,15.790625746610027
