rcasiteid,Gen_lat,Gen_long,SOCstock100
C0116X01,46.98,-117.58,53.5559547039575
C0117C01,43.75,-111.51,110.534415820634
C0117C02,44.06,-111.27,55.4098538787899
C0117C05,43.99,-111.2,127.871621642968
C0117C06,44.04,-111.27,66.2297610098123
C0117C07,43.88,-111.31,169.49308659369
C0117C08,43.91,-111.19,284.07084821168
C0117C09,44.03,-111.29,83.4805066559886
C0117F01,43.27,-123.21,292.218572314821
C0117F02,44.83,-122.61,
C0117F03,46.16,-123.67,478.924306265323
C0117F04,45.1,-123.33,380.900650382504
C0117R01,43.4,-114.18,132.378589751063
C0117R02,44.19,-111.65,104.12348617595
C0117R03,43.79,-111.22,72.3533107709787
C0117R04,44.4,-111.6,150.523436018845
C0117R05,42.98,-112.08,127.381902782823
C0117R06,43.45,-113.82,27.2439269961214
C0117X01,43.93,-111.26,178.66968452486
C0117X02,43.38,-111.72,138.995628930595
C0117X03,43.88,-111.14,135.44292636767
C0118F01,42.91,-124.43,157.271141223315
C0118F02,45.28,-122.57,207.328271968451
C0118F03,47.09,-123.38,
C0118F04,44.75,-122.55,306.527302095474
C0118F05,44.78,-123.48,354.623185386031
C0118R01,43.45,-113.85,109.470965937737
C0118R02,43.57,-113.92,152.378017749749
C0118R03,43.42,-114.15,80.9828457071654
C0119F01,48.77,-122.15,521.390443577783
C0119F02,46.4,-124.03,
C0119F03,44.76,-121.67,281.711810098294
C0119F06,45.49,-122.3,195.227549586813
C0119R01,42.1,-111.76,292.973885245484
C0120F01,45.91,-123.27,200.483539318965
C0120F02,47.78,-121.38,284.220360688849
C0120F03,44.57,-122.37,292.022198187107
C0120F04,46.09,-116.87,174.157325266861
C0120F05,43.65,-123.45,176.497799674522
C0120F06,45.29,-117.13,242.006000889426
C0120F07,46.07,-123.28,220.56495749836
C0120F08,48.83,-122.59,136.820913363382
C0120F09,48.0,-123.14,141.450229690155
C0120P01,42.9,-124.48,336.497591552559
C0120P02,42.8,-124.49,377.037688606462
C0120P03,48.98,-122.54,205.165755484163
C0120P04,45.78,-122.66,
C0120P05,46.28,-123.45,217.641764886824
C0120P06,46.37,-123.79,404.257702328331
C0120W04,43.66,-121.56,246.245112684044
C0201F02,35.52,-114.14,9.32767268097325
C0201R01,35.23,-114.39,2.25981073276992
C0201R02,34.77,-117.69,5.93178598983509
C0201R03,34.78,-114.27,1.06210641673805
C0201R04,34.66,-117.1,
C0201R05,36.68,-114.67,1.47682715574258
C0201R06,35.65,-114.2,15.3283043557675
C0201R07,35.46,-114.29,3.17897170289549
C0201R09,35.79,-119.9,18.6262411113069
C0201R10,37.35,-114.54,16.408780633128
C0201R11,35.21,-117.79,12.7637627535859
C0201R12,36.25,-120.28,27.254123291088
C0201R13,34.66,-117.14,13.2981541795421
C0201R20,34.54,-116.95,
C0202F02,41.3,-122.56,116.442857029163
C0202F03,39.13,-119.9,119.661965564972
C0202F04,37.97,-119.96,250.236061063969
C0202F05,41.21,-122.59,160.478872024646
C0202F06,39.54,-120.6,
C0202F07,39.3,-120.57,
C0202F08,38.93,-120.09,224.527694473752
C0202F10,39.53,-120.49,214.358408774147
C0202F17,40.28,-121.15,207.680136678361
C0202R01,39.36,-119.85,154.800866524292
C0202R02,39.56,-120.35,125.391025407843
C0202R03,39.11,-119.9,243.211716979296
C0203C01,32.76,-115.59,
C0203C02,32.73,-115.32,46.8922591129352
C0203C03,33.14,-115.62,30.6794944225847
C0203C05,35.08,-119.33,90.4588289143281
C0203P01,39.05,-122.69,51.4641564546482
C0203P04,36.71,-114.7,64.3814665777748
C0203P09,34.6,-120.17,110.275347039022
C0203R02,34.49,-117.62,30.9567460937294
C0203R04,34.89,-114.55,17.4754723350814
C0203R09,33.73,-116.19,24.7967528321858
C0203W01,33.27,-115.57,32.7260690783898
C0203W03,39.97,-122.27,202.248925546705
C0203W04,33.66,-114.51,
C0203W06,40.19,-122.23,116.689990792809
C0204C01,37.87,-120.97,50.0284714627991
C0204C02,39.27,-121.57,77.7483409709756
C0204C04,36.18,-119.6,51.2447912581783
C0204C07,32.88,-116.86,
C0204C10,33.34,-117.01,31.1070448477725
C0204F01,38.36,-121.05,51.5948836875118
C0204F03,39.2,-120.77,60.4060763013329
C0204F05,37.8,-122.13,105.266454259681
C0204F06,40.26,-122.29,53.1760606947542
C0204F09,38.41,-122.68,100.953134376161
C0204F10,39.25,-120.7,
C0204F11,35.16,-120.52,165.701431648458
C0204F12,37.04,-121.7,44.3036126269935
C0204F14,40.11,-122.05,35.3524511729418
C0204P04,43.22,-123.27,76.3572893003421
C0204P05,43.2,-123.22,33.7838915996662
C0204P07,40.1,-122.17,78.0716970374046
C0204P08,39.94,-122.15,46.588144311588
C0204R01,34.05,-118.75,
C0204R02,39.53,-122.4,16.0849723610768
C0204R04,37.5,-121.61,74.4287674407659
C0204R05,34.2,-118.66,
C0204R07,32.61,-116.75,9.52809138070656
C0204R08,36.08,-120.73,32.0143878813846
C0204R09,39.25,-122.3,33.9277490853605
C0204R10,35.46,-120.76,243.173232406901
C0204R12,38.4,-120.05,33.0132789828643
C0204R13,37.59,-121.62,43.8512749519762
C0204R14,38.11,-121.03,13.0966001366688
C0204R16,34.25,-118.89,28.1135753169071
C0204R17,38.48,-120.94,39.073752570131
C0204R18,37.51,-120.31,36.8250340094348
C0204R24,39.81,-122.37,67.9513042878384
C0204R31,36.43,-120.58,54.6844114967842
C0204X99,38.78,-121.89,21.2558100922716
C0205C01,34.01,-117.6,82.1897860139588
C0205C02,36.81,-120.25,18.723195687458
C0205C05,37.44,-120.88,68.7225443316228
C0205C06,37.83,-121.09,50.0960124668218
C0205C07,37.44,-120.67,30.5374488136312
C0205R01,37.85,-121.65,28.3823978174393
C0205R02,35.14,-120.52,79.8832909249558
C0205R03,34.84,-120.34,72.8822794836772
C0205R09,34.63,-120.22,31.690832024003
C0206C01,39.21,-122.2,83.6110350535346
C0206C02,38.97,-121.86,135.464371169396
C0206C03,39.52,-122.04,121.216296436451
C0206C04,38.76,-121.56,137.320466749948
C0206C05,37.04,-121.56,133.402873814121
C0206F01,39.35,-123.76,130.549029858276
C0206F02,42.55,-122.82,151.936248704441
C0206F03,38.85,-123.63,
C0206F06,39.46,-123.78,163.133426567262
C0206P01,42.36,-123.33,116.679591464082
C0206P04,43.18,-123.51,144.979212212054
C0206P05,43.36,-123.5,162.203264784226
C0206P06,38.1,-121.69,1192.80182603231
C0206R01,38.3,-122.63,94.6271748165509
C0206R03,38.41,-121.49,69.7165667049727
C0206R04,38.89,-122.46,209.960192636416
C0206R05,39.84,-122.57,212.744667481045
C0206R06,33.82,-117.15,39.8665553406896
C0206W01,36.68,-114.66,91.3743353478113
C0206W02,37.17,-120.9,55.3620617034654
C0206W04,37.0,-120.76,25.162619110787
C0206W09,36.15,-119.76,139.405303101199
C0207R01,34.88,-119.49,25.6287878460036
C0207R98,39.93,-122.26,35.2399263013321
C0207R99,34.43,-119.8,
C0208C01,38.56,-121.83,97.9206094013276
C0208C02,37.7,-120.93,70.1489545866418
C0208C03,39.11,-121.5,68.2987314590015
C0208C04,38.72,-121.58,50.0989978439446
C0208F01,42.48,-122.47,210.351471170793
C0208F02,43.48,-123.44,180.112058094669
C0208F04,42.97,-122.89,122.90572648762
C0208F05,43.43,-123.6,227.939800893908
C0208F10,38.73,-122.18,213.867325792562
C0208F11,37.49,-121.61,114.814805002594
C0208P02,37.72,-120.93,89.0887589382357
C0208P06,39.38,-121.61,88.7324017150243
C0208P08,33.63,-117.14,
C0208R01,39.72,-122.56,72.7133881824844
C0208R02,40.1,-122.27,19.7828039005105
C0208R03,38.18,-122.19,159.282475277427
C0208R06,38.21,-122.19,151.390837203955
C0208R09,39.66,-122.53,29.6312827610936
C0208X99,35.66,-120.22,74.4732862067487
C0209C01,37.45,-121.1,82.0085199029057
C0209C02,36.39,-120.99,76.7086065648395
C0209C03,39.35,-121.56,76.2892711503263
C0209C04,37.05,-120.3,37.9716275106849
C0209C05,36.82,-120.16,21.1007709183252
C0209F03,43.04,-123.66,304.337525008055
C0209F04,37.45,-121.69,197.969827109793
C0209F06,35.17,-118.43,44.2333714522235
C0209F08,42.91,-123.65,149.111716222246
C0209F10,40.64,-123.0,213.825594559523
C0209F12,42.24,-122.91,
C0209F13,43.65,-123.17,221.76725190011
C0209F14,38.44,-122.98,174.51436213376
C0209F16,39.01,-120.98,373.374988588792
C0209F17,37.41,-120.0,
C0209F24,37.01,-121.81,256.692100670158
C0209F27,37.21,-122.16,233.336255312426
C0209P01,34.63,-120.18,90.3007033521606
C0209P02,42.43,-123.41,65.854524174032
C0209P03,41.82,-124.1,164.185273974668
C0209R02,33.91,-116.74,30.0905051562567
C0209R04,35.14,-118.47,141.834819658733
C0209R05,35.68,-120.37,58.2281744048498
C0209R06,33.74,-117.68,28.2164060520537
C0209R08,37.18,-122.37,107.319811254188
C0209R10,35.42,-120.14,53.8823976390812
C0209R11,36.14,-120.86,146.099695616355
C0209R12,35.18,-120.49,220.324120954056
C0209R15,33.64,-117.77,48.6474922115473
C0209R18,35.55,-120.42,66.1992408507054
C0209R23,37.99,-121.88,116.477880836306
C0209W01,39.58,-121.98,131.924728944118
C0209W02,39.01,-123.12,98.2423324260244
C0209W04,36.84,-119.09,65.0633431004287
C0209W05,42.45,-122.86,34.8842335924727
C0209X01,35.53,-120.31,54.2452156942711
C0209X02,35.7,-120.4,63.6211571782292
C0210C01,35.37,-119.21,42.9426918979561
C0210C03,33.6,-114.7,7.66748700534669
C0210C04,33.09,-115.68,75.6379095521019
C0210C05,33.63,-114.54,16.1791659590017
C0210R01,34.62,-117.01,13.6405403207068
C0210R02,35.6,-114.01,35.9168383639116
C0211F01,39.15,-120.2,266.465050811166
C0211F02,39.53,-120.32,268.190519805842
C0211F03,39.3,-120.24,444.86154756576
C0211F04,38.33,-120.28,480.906422323388
C0211F05,40.39,-121.69,199.392600328904
C0212C01,38.17,-121.53,1029.35535010182
C0212C02,37.94,-121.48,334.937280528805
C0212C03,38.07,-121.6,796.72285462303
C0212C04,38.13,-121.62,1335.22917290223
C0212C05,37.97,-121.52,1617.68062466588
C0212C06,37.95,-121.54,653.156676121497
C0212C07,38.09,-121.58,966.607726862449
C0212C08,37.91,-121.55,718.780581806784
C0213C02,34.16,-119.07,
C0213C04,38.28,-121.55,134.167934077744
C0213C06,37.92,-121.42,240.744944134883
C0213C07,38.19,-121.65,246.97739293098
C0213C09,38.05,-121.04,86.9143680457965
C0213C13,38.32,-121.39,135.19309368669
C0213C14,37.9,-121.54,109.912811915521
C0213C99,38.17,-121.17,79.9024054899526
C0213R97,36.53,-114.42,37.0933798176581
C0213R98,38.17,-122.41,147.945889028089
C0214F01,39.51,-120.26,78.0365198353231
C0214F02,39.13,-119.93,458.424384806958
C0214F03,39.61,-120.07,54.1959861048562
C0214F04,39.34,-120.09,763.303406192226
C0214F05,39.38,-120.21,258.678831728436
C0214R01,41.93,-122.41,43.7272017131128
C0214R02,39.61,-120.18,50.6842250904258
C0214R03,39.59,-120.28,17.5512108024261
C0214R04,39.63,-120.09,68.7255676699846
C0215C01,39.28,-121.58,73.5790995940442
C0215C02,39.42,-122.25,102.869097466013
C0215C04,39.12,-121.66,97.8045937147286
C0215C05,39.09,-121.78,57.3854375376963
C0215C07,37.14,-121.01,103.242127116157
C0215C10,34.25,-119.25,
C0215F01,38.49,-122.4,139.220273027026
C0215F03,39.41,-123.58,129.859736103117
C0215F04,41.87,-124.06,162.122621352823
C0215F05,40.52,-121.77,169.911983619184
C0215F06,37.49,-121.44,182.358550706858
C0215P02,42.44,-122.75,146.677703095697
C0215P03,42.53,-122.71,135.578687968739
C0215P04,38.47,-121.77,188.24457161145
C0215P05,38.71,-121.92,72.6948622705552
C0215P06,38.6,-121.94,138.490867879799
C0215R01,37.87,-122.12,97.4747504030013
C0215R02,37.49,-122.32,74.8870734478121
C0215R03,33.74,-117.73,27.3016509352821
C0215R05,38.02,-122.05,108.147902429364
C0215R06,35.33,-120.7,92.5661575321028
C0215X01,38.78,-121.9,65.7007071296257
C0215X99,39.63,-122.32,60.6939390607681
C0216C01,35.2,-118.81,68.6536971665475
C0216C02,36.57,-120.3,61.5395778580827
C0216C03,35.29,-119.09,60.9970884999668
C0216C04,34.91,-119.59,40.6135197943811
C0216C05,35.46,-119.07,14.971440497581
C0216C06,35.28,-118.76,26.7702173027808
C0216C07,34.92,-119.66,49.1869589117433
C0216R01,34.47,-117.47,24.6797290520756
C0216R02,35.71,-114.45,4.82578716434803
C0216R04,35.25,-113.86,16.4850798898485
C0216R06,35.46,-114.29,13.4850808902549
C0216R07,35.48,-113.79,18.6781443288611
C0216R08,35.52,-114.37,12.1630311063179
C0216R09,36.57,-118.05,96.6460224104665
C0216R10,35.43,-114.39,21.1422121135926
C0216R11,34.54,-114.34,0.178608124613778
C0216R19,34.65,-117.97,19.280766485669
C0216R20,34.47,-117.82,8.20120923706623
C0217F01,37.53,-122.38,158.990673206186
C0217F02,39.74,-123.68,200.195559285485
C0217F03,39.8,-123.76,
C0217F04,39.25,-123.42,60.9231569907232
C0217F05,39.04,-123.61,104.183324431919
C0217R01,38.28,-122.94,129.902631150233
C0217R02,38.23,-122.82,96.0642780786983
C0217R10,38.27,-122.89,209.492591270383
