OID_,Point_ID,X,Y
154,41503092,7.568065097,50.91384073
155,41503116,7.55672438,51.12943928
156,41503188,7.521901448,51.77616737
157,41503390,7.417318111,53.59020711
158,41522764,7.737651025,47.9663091
159,41522944,7.662852071,49.58458651
160,41523178,7.555717375,51.68695519
161,41523250,7.520240965,52.33361848
162,41523334,7.477215484,53.08797473
163,41523376,7.455009573,53.4651283
164,41542720,7.781579582,47.57109011
165,41543076,7.632228983,50.77127831
166,41543112,7.615694294,51.09469331
167,41543238,7.555496306,52.22645326
168,41543310,7.519380188,52.87306895
169,41562726,7.80583993,47.62559981
170,41563086,7.656057946,50.86169789
171,41582722,7.83393363,47.59014762
172,41583142,7.659102628,51.36535147
173,41583214,7.625481613,52.01208526
174,41583286,7.590646986,52.65874224
175,41602942,7.774248385,49.56884371
176,41602946,7.77259827,49.60479546
177,41603078,7.716368831,50.7909604
178,41603090,7.711080329,50.89877254
179,41603104,7.704871822,51.02454946
180,41603168,7.675949711,51.59948017
181,41603306,7.610410774,52.83895273
182,41603320,7.603506716,52.96468356
183,41603342,7.592558458,53.16225708
184,41622728,7.884850315,47.64516307
185,41623250,7.666876182,52.33658831
186,41623280,7.652611981,52.60603099
187,41623298,7.643950333,52.76769172
188,41642752,7.902645817,47.86156154
189,41642964,7.820629358,49.76765317
190,41642978,7.814925742,49.89347668
191,41643072,7.775640238,50.73815944
192,41643094,7.766189495,50.93582093
193,41643130,7.750507565,51.25924517
194,41643230,7.705479543,52.1575232
195,41643342,7.652331193,53.16343399
196,41643360,7.643506571,53.32508729
197,41643374,7.636586881,53.45081612
198,41643396,7.625612583,53.64838771
199,41663160,7.766037646,51.52929975
200,41663232,7.733779992,52.17604985
201,41663376,7.665694501,53.46935936
202,41682724,7.966051056,47.610693
203,41682750,7.956775166,47.84457932
204,41682828,7.92828815,48.54608015
205,41683228,7.764803157,52.14067628
206,41683260,7.750312863,52.42810274
207,41683272,7.744819331,52.53588441
208,41683282,7.740216201,52.62570121
209,41683290,7.736517091,52.69755388
210,41702722,7.993326851,47.59319181
211,41703124,7.838960607,51.20696893
212,41703136,7.833888862,51.31477711
213,41703250,7.784197052,52.33883392
214,41722734,8.015741328,47.70163087
215,41722968,7.930082498,49.80568482
216,41723044,7.90020559,50.48869064
217,41723116,7.870889033,51.13562226
218,41723166,7.849924038,51.58481894
219,41742978,7.954035021,49.89606715
220,41743032,7.933101778,50.38136774
221,41743072,7.917247044,50.74080353
222,41743302,7.819872541,52.80698149
223,41743306,7.81807925,52.84290865
